sats;bands;gain;offset;exo_thuilier;exo_chkur;exo_wrc
WV04; B;1;0;2009.45;2009.45;2009.45
WV04; G;1;0;1831.88;1831.88;1831.88
WV04; R;1;0;1492.12;1492.12;1492.12
WV04; N;1;0;937.8;937.8;937.8
WV04; P;1;0;1608.01;1608.01;1608.01
WV03; C;0.905;-8.604;1757.89;1578.28;1583.58
WV03; B;0.94;-5.809;2004.61;1743.9;1743.81
WV03; G;0.938;-4.996;1858.1;1974.53;1971.48
WV03; Y;0.962;-3.649;1712.07;1858.1;1856.26
WV03; R;0.964;-3.021;1535.33;1748.87;1749.4
WV03; RE;1;-4.521;1348.08;1550.58;1555.11
WV03; N;0.961;-5.522;1055.94;1063.92;1071.98
WV03; N2;0.978;-2.992;858.77;858.632;863.296
WV03; P;0.95;-3.692;1574.41;1578.28;1583.58
WV02; C;1.151;-7.478;1773.81;1759.24;1757.77
WV02; B;0.988;-5.736;2007.27;1977.4;1974.29
WV02; G;0.936;-3.546;1829.62;1857.89;1856.03
WV02; Y;0.949;-3.564;1701.85;1738.11;1738.59
WV02; R;0.952;-2.512;1538.85;1554.95;1559.35
WV02; RE;0.974;-4.12;1346.09;1302.19;1342.05
WV02; N;0.961;-3.3;1053.21;1061.4;1069.59
WV02; N2;1.002;-2.891;586.599;856.816;861.201
WV02; P;0.942;-2.704;1571.36;1575.38;1580.76
QB02;B;1.053;-2.82;1949.59;1926.55;1924.62
QB02;G;0.994;-3.338;1823.61;1844.26;1842.81
QB02;R;0.998;-2.954;1553.78;1571.58;1574.65
QB02;N;0.994;-4.722;1102.85;1107.47;1113.72
QB02;P;0.97;-1.491;1370.92;1376.3;1381.72
